TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0x8483c940,0x4,Process,0x1fffff,System Pid 4
0,4,System,0x8ac1aab8,0x8,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0x8ac05150,0xc,Directory,0xf000f,GLOBAL??
0,4,System,0x8ac0a1a0,0x10,Key,0x0,-
0,4,System,0x8ac0b598,0x14,Key,0x20019,MACHINE\\HARDWARE\\DESCRIPTION\\SYSTEM\\MULTIFUNCTIONADAPTER
0,4,System,0x8ac5ab30,0x18,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0x8ac5f9d0,0x1c,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PRODUCTOPTIONS
0,4,System,0x848b3a30,0x20,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0x848bba30,0x24,ALPC Port,0x1f0001,PowerPort
0,4,System,0x8ac5e400,0x28,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0x8517c2c8,0x2c,Thread,0x1fffff,Tid 188 Pid 4
0,4,System,0x8ac5d578,0x30,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x8ac638c0,0x34,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0x8ac4c948,0x38,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0x8ac5d4a8,0x3c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0x8ad219b8,0x40,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0x8adba730,0x44,Token,0xe,-
0,4,System,0x85864360,0x48,File,0x10003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\RegBack\\SECURITY
0,4,System,0x85838b80,0x4c,Process,0x2a,smss.exe Pid 248
0,4,System,0x85885238,0x50,File,0x10003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\RegBack\\SAM
0,4,System,0x858394d0,0x54,ALPC Port,0x1f0001,SeRmCommandPort
0,4,System,0x8585f3a0,0x58,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,4,System,0x8585fcd8,0x5c,File,0x2020003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SAM
0,4,System,0x85dec7e8,0x60,File,0x12019f,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\TxR\\{6cced301-6e01-11de-8bed-001e0bcd1824}.TM.blf
0,4,System,0x8c4d1430,0x64,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LSA
0,4,System,0x86276778,0x68,File,0x12019f,\\Device\\NetBT_Tcpip_{010F457D-CD0B-416B-A8B1-22406C017EE7}
0,4,System,0x8ae4a630,0x6c,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDPROXY
0,4,System,0x8585fd80,0x70,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,4,System,0x85c8e148,0x74,File,0x3,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SYSTEM.LOG1
0,4,System,0x858539a0,0x78,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,4,System,0x85867830,0x7c,File,0x12019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x85867028,0x80,File,0x1,\\Device\\HarddiskVolume1
0,4,System,0x85792ca8,0x84,TmRm,0x12007f,-
0,4,System,0x858671a0,0x88,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x8585f0f8,0x8c,File,0x12019f,\\Device\\clfsTxfLog
0,4,System,0x858563a0,0x90,TmRm,0x1f007f,-
0,4,System,0x85790d48,0x94,TmTm,0xf003f,-
0,4,System,0x8578eea8,0x98,TmRm,0x1f007f,-
0,4,System,0x85790a18,0x9c,File,0x12019f,\\Device\\clfsKtmLog
0,4,System,0x85790ca8,0xa0,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x8578e488,0xa4,File,0x12019f,\\Device\\clfs\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x857890f0,0xa8,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x85747028,0xac,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,4,System,0x8578ec80,0xb0,File,0x1,\\Device\\HarddiskVolume2
0,4,System,0x8578fc98,0xb4,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,4,System,0x8577a998,0xb8,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,4,System,0x8578f670,0xbc,File,0x12019f,\\Device\\clfsTxfLog
0,4,System,0x85868ec0,0xc0,File,0x12019f,\\Device\\clfsKtmLog
0,4,System,0x8ae43d40,0xc4,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PCW\\SECURITY
0,4,System,0x8ae11f08,0xc8,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\FILESYSTEM
0,4,System,0x8483c940,0xcc,Process,0x1440,System Pid 4
0,4,System,0x8ae0e7b0,0xd0,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\POLICIES
0,4,System,0x8adda588,0xd4,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x8ae45f80,0xd8,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\1
0,4,System,0x8ae0e140,0xdc,Key,0x2,MACHINE\\SYSTEM\\RNG
0,4,System,0x8ae4a808,0xe0,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\MUP
0,4,System,0x8c62b218,0xe4,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\VIDEO\\{7DC74B6F-2B18-48D3-99D1-99C09FC89F2A}\\0000\\VOLATILESETTINGS
0,4,System,0x8ae45bf0,0xe8,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\23
0,4,System,0x8ae45dd0,0xec,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\131
0,4,System,0x8ae459e0,0xf0,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\24
0,4,System,0x8ae41498,0xf4,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\6
0,4,System,0x8ae438b8,0xf8,Key,0xb,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\NDIS\\IFTYPES\\71
0,4,System,0x8ac01500,0xfc,Token,0xf01ff,-
0,4,System,0x8ae4acf0,0x100,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NETWORKPROVIDER\\ORDER
0,4,System,0x85867240,0x104,TmTm,0xf003f,-
0,4,System,0x8ae47458,0x108,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\FILESYSTEM
0,4,System,0x8584b188,0x10c,File,0x2020003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\DEFAULT
0,4,System,0x86276450,0x110,File,0x12019f,\\Device\\NetBT_Tcpip_{010F457D-CD0B-416B-A8B1-22406C017EE7}
0,4,System,0x8c4d63b0,0x114,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LSA
0,4,System,0x858687d0,0x118,TmRm,0x12007f,-
0,4,System,0x8ae4b030,0x11c,Directory,0xf000f,Harddisk0
0,4,System,0x85865aa8,0x120,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x85851f80,0x124,File,0x2020003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SECURITY
