TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0x846c2a40,0x4,Process,0x1fffff,System Pid 4
0,4,System,0x85ab62b8,0x8,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,4,System,0x81e0ad30,0xc,Directory,0xf000f,GLOBAL??
0,4,System,0x8471e540,0x10,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0x81e1be50,0x14,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0x81e0d220,0x18,Key,0x0,-
0,4,System,0x81fbf920,0x1c,SymbolicLink,0xf0001,ACPI#FixedButton#2&daba3ff&2#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
0,4,System,0x81e5d638,0x20,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0x85a45868,0x24,File,0x12019f,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,4,System,0x81e61f58,0x28,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0x80f30b40,0x2c,Token,0xf01ff,-
0,4,System,0x84724c58,0x30,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0x81e60080,0x34,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE
0,4,System,0x84724da0,0x38,ALPC Port,0x1f0001,PowerPort
0,4,System,0x81e65f40,0x3c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x81e64700,0x40,Key,0xf003f,MACHINE\\SYSTEM
0,4,System,0x81e643d0,0x44,Key,0xf003f,USER
0,4,System,0x846c6c18,0x48,Event,0x1f0003,-
0,4,System,0x81e62ce0,0x4c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0x81e5d770,0x50,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0x81f7a8e8,0x54,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECONTAINERS
0,4,System,0x81f7ce90,0x58,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
