sample_id,folder,label,family,benign_subtype,label_source,label_version,reviewer_id,reviewed_at,feedback_state,curated_label,label_quality_flag,label_quality_reason,train_eligible,nodes,edges,max_score,attack_steps,injections,c2_conns,verdict,graph_attr,label_signals_top,label_signals_json,signal_behavioural_suspects_found,signal_lolbin_c2_found,signal_ransom_note_found,signal_rwx_injections,signal_hidden_processes,signal_top_suspect_score,signal_triage_confidence,signal_stage_coverage_score,signal_lineage_depth_p95,signal_nonrwx_exec_count,signal_credential_access_count,signal_num_attack_motifs,signal_temporal_chain_count,signal_api_semantic_count,signal_persistence_count,signal_privilege_escalation_count,signal_parent_child_anomaly_count,signal_svchost_lineage_anomaly_count,signal_svchost_cmdline_anomaly_count,signal_dll_trust_anomaly_count,signal_service_orphan_count,signal_lolbin_chain_count,signal_c2_relation_pattern_count,signal_motif_ransom_decryptor_log,signal_motif_tor_tasksvc_log,signal_motif_hex_image_name_log,signal_motif_memory_per_process_log,signal_motif_lolbin_path_log,signal_motif_injection_path_log,signal_motif_persistence_path_log,signal_benign_high_volume_hub_count,signal_rwx_thread_context_count,uncertain,uncertain_reason,filter_ok,graph_ok,analyze_ok,error
01,Cerber-NoVirus,0,cerber,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,False,9381,13897,18,4,6,7,HIGH — Multiple malicious behaviours detected,"[12.0, 2.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=12,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 0, ""hidden_processes"": 0, ""lineage_depth_p95"": 3, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 6, ""num_attack_motifs"": 137, ""ransom_note_found"": 0, ""rwx_injections"": 12, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.6, ""temporal_chain_signals"": 0, ""top_suspect_score"": 12, ""triage_confidence"": 0.7112, ""trusted_host_dll_anomalies"": 0}",1,0,0,12,0,12,0.7112,0.6,3,6,0,137,19,0,1,0,0,0,11,2521,0,0,0,0.0,0.0,0.0,5.011276114368105,0.0,1.791759469228055,0.6931471805599453,0,137,True,ambiguous_novirus_control,True,True,True,
02,Cerber-WithVirus,1,cerber,,name_inference,v1,,,unreviewed,,False,,True,7904,11740,46,4,6,24,HIGH — Multiple malicious behaviours detected,"[12.0, 3.0, 0.0, 4.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=1 ransom_note_found=0 rwx_injections=12,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 0, ""hidden_processes"": 0, ""lineage_depth_p95"": 3, ""lolbin_c2_found"": 1, ""nonrwx_exec_count"": 6, ""num_attack_motifs"": 148, ""ransom_note_found"": 0, ""rwx_injections"": 12, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.6, ""temporal_chain_signals"": 0, ""top_suspect_score"": 12, ""triage_confidence"": 0.7112, ""trusted_host_dll_anomalies"": 0}",1,1,0,12,0,12,0.7112,0.6,3,6,0,148,19,0,1,0,0,0,10,2176,0,0,0,0.6931471805599453,0.0,0.0,4.973122213018147,0.0,1.791759469228055,0.6931471805599453,0,148,False,,True,True,True,
03,DLLHijacking-NoVirus,0,dllhijacking,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,False,18477,26822,152,3,18,0,HIGH — Multiple malicious behaviours detected,"[144.0, 2.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=38,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 0, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 20, ""num_attack_motifs"": 93, ""ransom_note_found"": 0, ""rwx_injections"": 38, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.6, ""temporal_chain_signals"": 0, ""top_suspect_score"": 144, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,38,0,144,0.99,0.6,4,20,0,93,74,1,2,1,0,0,40,4701,0,0,0,0.0,0.0,0.0,4.830153314084191,0.0,2.772588722239781,1.0986122886681098,0,72,True,ambiguous_novirus_control,True,True,True,
04,DLLHijacking-WithVirus,1,dllhijacking,,name_inference,v1,,,unreviewed,,False,,True,27362,39117,110,4,8,0,HIGH — Multiple malicious behaviours detected,"[102.0, 3.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=32,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 24, ""num_attack_motifs"": 121, ""ransom_note_found"": 0, ""rwx_injections"": 32, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 102, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,32,0,102,0.99,0.8,4,24,1,121,79,3,7,2,0,0,32,6508,0,0,0,0.0,0.0,0.0,4.903400363644079,1.0986122886681098,2.1972245773362196,2.0794415416798357,0,43,False,,True,True,True,
05,DeriaLock-NoVirus,0,derialock,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,False,24787,38751,84,5,9,66,CRITICAL — Active malware: injection + C2 + credential access detected,"[76.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=22,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 13, ""num_attack_motifs"": 147, ""ransom_note_found"": 0, ""rwx_injections"": 22, ""service_boundary_violations"": 1, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 76, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,22,0,76,0.99,0.8,4,13,1,147,77,2,7,2,1,0,26,7621,0,0,0,0.0,0.0,0.0,4.867391990166147,1.0986122886681098,2.1972245773362196,2.0794415416798357,1,78,True,ambiguous_novirus_control,True,True,True,
06,DeriaLock-WithVirus,1,derialock,,name_inference,v1,,,unreviewed,,False,,True,26221,38068,26,5,2,8,CRITICAL — Active malware: injection + C2 + credential access detected,"[23.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=9,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 3, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 7, ""num_attack_motifs"": 119, ""ransom_note_found"": 0, ""rwx_injections"": 9, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 23, ""triage_confidence"": 0.8995, ""trusted_host_dll_anomalies"": 0}",1,0,0,9,0,23,0.8995,0.8,3,7,1,119,72,1,12,2,0,0,28,6477,0,0,0,0.0,0.0,0.0,4.874368190034147,1.6094379124341003,1.0986122886681098,2.5649493574615367,1,14,False,,True,True,True,
07,Dharma-NoVirus,0,dharma,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,False,16431,21489,87,4,13,28,HIGH — Multiple malicious behaviours detected,"[28.0, 3.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=27,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 0, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 14, ""num_attack_motifs"": 166, ""ransom_note_found"": 0, ""rwx_injections"": 27, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.6, ""temporal_chain_signals"": 0, ""top_suspect_score"": 28, ""triage_confidence"": 0.9371, ""trusted_host_dll_anomalies"": 0}",1,0,0,27,0,28,0.9371,0.6,4,14,0,166,22,0,2,0,0,0,11,2906,0,0,0,0.0,0.0,0.0,5.574570743176195,0.0,2.3978952727983707,1.0986122886681098,0,164,True,ambiguous_novirus_control,True,True,True,
08,Dharma-WithVirus,1,dharma,,name_inference,v1,,,unreviewed,,False,,True,11295,16133,163,4,12,50,HIGH — Multiple malicious behaviours detected,"[32.0, 3.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=24,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 0, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 12, ""num_attack_motifs"": 156, ""ransom_note_found"": 0, ""rwx_injections"": 24, ""service_boundary_violations"": 1, ""stage_coverage_score"": 0.6, ""temporal_chain_signals"": 0, ""top_suspect_score"": 32, ""triage_confidence"": 0.9587, ""trusted_host_dll_anomalies"": 0}",1,0,0,24,0,32,0.9587,0.6,4,12,0,156,22,0,2,0,0,0,11,2790,0,0,0,0.0,0.0,0.0,5.1459860183871315,0.0,2.302585092994046,1.0986122886681098,0,156,False,,True,True,True,
09,GandCrab-NoVirus,0,gandcrab,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,False,24147,36003,152,5,19,19,CRITICAL — Active malware: injection + C2 + credential access detected,"[144.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=46,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 27, ""num_attack_motifs"": 234, ""ransom_note_found"": 0, ""rwx_injections"": 46, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 144, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,46,0,144,0.99,0.8,4,27,1,234,62,2,9,2,0,0,25,6514,0,0,0,0.6931471805599453,0.0,0.0,4.999256243578517,0.6931471805599453,2.9444389791664403,2.302585092994046,0,54,True,ambiguous_novirus_control,True,True,True,
10,GandCrab-WithVirus,1,gandcrab,,name_inference,v1,,,unreviewed,,False,,True,26600,37649,141,5,13,28,CRITICAL — Active malware: injection + C2 + credential access detected,"[133.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=41,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 28, ""num_attack_motifs"": 229, ""ransom_note_found"": 0, ""rwx_injections"": 41, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 133, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,41,0,133,0.99,0.8,4,28,1,229,61,2,9,2,0,0,25,6056,0,0,0,1.0986122886681098,0.0,0.0,5.068394128248448,1.0986122886681098,2.6390573296152584,2.302585092994046,0,21,False,,True,True,True,
